algorithm_name,env_n,size,best_solution,H,states,time
SA,11,8,"[0, 4, 6, 0, 5, 7, 1, 3]",1,153,0.002484
SA,12,8,"[4, 4, 7, 0, 6, 3, 5, 1]",2,153,0.002334
SA,13,8,"[6, 3, 0, 4, 1, 5, 2, 6]",1,153,0.002304
SA,14,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,19,0.000327
SA,15,8,"[5, 7, 1, 4, 2, 0, 6, 3]",1,153,0.002342
SA,16,8,"[3, 5, 7, 1, 6, 6, 2, 0]",1,153,0.002363
SA,17,8,"[3, 7, 4, 1, 5, 2, 6, 3]",1,153,0.002400
SA,18,8,"[2, 6, 6, 0, 5, 1, 4, 7]",1,153,0.002420
SA,19,8,"[5, 0, 2, 6, 2, 7, 1, 4]",1,153,0.002306
SA,20,8,"[0, 3, 6, 4, 7, 1, 4, 2]",1,153,0.002290
SA,21,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,140,0.002120
SA,22,8,"[1, 7, 4, 6, 0, 2, 5, 3]",1,153,0.002329
SA,23,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,46,0.000737
SA,24,8,"[7, 0, 3, 6, 1, 5, 2, 5]",2,153,0.002287
SA,25,8,"[3, 1, 7, 2, 6, 3, 0, 4]",1,153,0.002312
SA,26,8,"[4, 6, 1, 3, 5, 7, 2, 0]",1,153,0.002385
SA,27,8,"[2, 4, 7, 1, 3, 6, 0, 5]",1,153,0.002319
SA,28,8,"[1, 6, 3, 0, 4, 7, 5, 2]",1,153,0.002307
SA,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,153,0.002326
SA,30,8,"[7, 4, 2, 0, 5, 1, 0, 6]",2,153,0.002411
SA,1,10,"[3, 7, 9, 5, 2, 0, 6, 8, 1, 5]",2,153,0.002630
SA,2,10,"[3, 5, 7, 9, 6, 4, 1, 8, 5, 2]",2,153,0.002648
SA,3,10,"[7, 0, 3, 5, 9, 1, 9, 4, 6, 1]",2,153,0.003204
SA,4,10,"[4, 8, 0, 7, 9, 2, 6, 1, 7, 5]",2,153,0.002688
SA,5,10,"[4, 2, 0, 8, 6, 2, 9, 7, 1, 3]",1,153,0.003099
SA,6,10,"[0, 3, 1, 9, 5, 8, 2, 4, 6, 1]",1,153,0.002963
SA,7,10,"[7, 0, 3, 9, 5, 9, 2, 4, 8, 1]",2,153,0.003194
SA,8,10,"[3, 1, 9, 2, 5, 7, 0, 3, 6, 6]",2,153,0.003615
SA,9,10,"[6, 0, 2, 5, 8, 8, 4, 2, 9, 6]",3,153,0.003835
SA,10,10,"[9, 4, 2, 5, 8, 1, 7, 0, 6, 3]",1,153,0.003025
SA,11,10,"[5, 7, 3, 1, 6, 9, 0, 0, 8, 4]",2,153,0.002970
SA,12,10,"[0, 3, 7, 4, 1, 9, 2, 5, 3, 8]",1,153,0.002878
SA,13,10,"[0, 4, 7, 9, 2, 6, 1, 3, 5, 8]",0,57,0.001030
SA,14,10,"[8, 1, 2, 6, 3, 7, 0, 4, 9, 5]",1,153,0.002597
SA,15,10,"[9, 6, 8, 0, 4, 8, 0, 5, 7, 2]",2,153,0.003321
